date,sales
2022-01-01,1000
2022-01-02,1072
2022-01-03,1104
2022-01-04,1128
2022-01-05,1149
2022-01-06,1168
2022-01-07,1185
2022-01-08,1201
2022-01-09,1216
2022-01-10,1230
2022-01-11,1243
2022-01-12,1256
2022-01-13,1268
2022-01-14,1280
2022-01-15,1292
2022-01-16,1303
2022-01-17,1314
2022-01-18,1325
2022-01-19,1336
2022-01-20,1346
2022-01-21,1356
2022-01-22,1366
2022-01-23,1375
2022-01-24,1385
2022-01-25,1394
2022-01-26,1403
2022-01-27,1412
2022-01-28,1421
2022-01-29,1430
2022-01-30,1438
2022-01-31,1447
2022-02-01,1455
2022-02-02,1464
2022-02-03,1472
2022-02-04,1480
2022-02-05,1488
2022-02-06,1496
2022-02-07,1504
2022-02-08,1511
2022-02-09,1519
2022-02-10,1527
2022-02-11,1534
2022-02-12,1542
2022-02-13,1549
2022-02-14,1557
2022-02-15,1564
2022-02-16,1571
2022-02-17,1578
2022-02-18,1585
2022-02-19,1592
2022-02-20,1600
2022-02-21,1606
2022-02-22,1613
2022-02-23,1620
2022-02-24,1627
2022-02-25,1634
2022-02-26,1641
2022-02-27,1647
2022-02-28,1654
2022-03-01,1661
2022-03-02,1667
2022-03-03,1674
2022-03-04,1680
2022-03-05,1687
2022-03-06,1693
2022-03-07,1700
2022-03-08,1706
2022-03-09,1712
2022-03-10,1719
2022-03-11,1725
2022-03-12,1731
2022-03-13,1737
2022-03-14,1744
2022-03-15,1750
2022-03-16,1756
2022-03-17,1762
2022-03-18,1768
2022-03-19,1774
2022-03-20,1780
2022-03-21,1786
2022-03-22,1792
2022-03-23,1798
2022-03-24,1804
2022-03-25,1810
2022-03-26,1816
2022-03-27,1821
2022-03-28,1827
2022-03-29,1833
2022-03-30,1839
2022-03-31,1845
2022-04-01,1850
2022-04-02,1856
2022-04-03,1862
2022-04-04,1867
2022-04-05,1873
2022-04-06,1879
2022-04-07,1884
2022-04-08,1890
2022-04-09,1896
2022-04-10,1901
2022-04-11,1907
2022-04-12,1912
2022-04-13,1918
2022-04-14,1923
2022-04-15,1929
2022-04-16,1934
2022-04-17,1940
2022-04-18,1945
2022-04-19,1950
2022-04-20,1956
2022-04-21,1961
2022-04-22,1966
2022-04-23,1972
2022-04-24,1977
2022-04-25,1982
2022-04-26,1988
2022-04-27,1993
2022-04-28,1998
2022-04-29,2004
2022-04-30,2009
2022-05-01,2014
2022-05-02,2019
2022-05-03,2025
2022-05-04,2030
2022-05-05,2035
2022-05-06,2040
2022-05-07,2045
2022-05-08,2050
2022-05-09,2056
2022-05-10,2061
2022-05-11,2066
2022-05-12,2071
2022-05-13,2076
2022-05-14,2081
2022-05-15,2086
2022-05-16,2091
2022-05-17,2096
2022-05-18,2101
2022-05-19,2106
2022-05-20,2111
2022-05-21,2116
2022-05-22,2121
2022-05-23,2126
2022-05-24,2131
2022-05-25,2136
2022-05-26,2141
2022-05-27,2146
2022-05-28,2151
2022-05-29,2156
2022-05-30,2161
2022-05-31,2166
2022-06-01,2170
2022-06-02,2175
2022-06-03,2180
2022-06-04,2185
2022-06-05,2190
2022-06-06,2195
2022-06-07,2200
2022-06-08,2204
2022-06-09,2209
2022-06-10,2214
2022-06-11,2219
2022-06-12,2224
2022-06-13,2228
2022-06-14,2233
2022-06-15,2238
2022-06-16,2243
2022-06-17,2247
2022-06-18,2252
2022-06-19,2257
2022-06-20,2261
2022-06-21,2266
2022-06-22,2271
2022-06-23,2276
2022-06-24,2280
2022-06-25,2285
2022-06-26,2290
2022-06-27,2294
2022-06-28,2299
2022-06-29,2304
2022-06-30,2308
2022-07-01,2313
2022-07-02,2317
2022-07-03,2322
2022-07-04,2327
2022-07-05,2331
2022-07-06,2336
2022-07-07,2340
2022-07-08,2345
2022-07-09,2350
2022-07-10,2354
2022-07-11,2359
2022-07-12,2363
2022-07-13,2368
2022-07-14,2372
2022-07-15,2377
2022-07-16,2381
2022-07-17,2386
2022-07-18,2390
2022-07-19,2395
2022-07-20,2400
2022-07-21,2404
2022-07-22,2408
2022-07-23,2413
2022-07-24,2417
2022-07-25,2422
2022-07-26,2426
2022-07-27,2431
