ds,yhat,yhat_lower,yhat_upper
2022-01-01,1086.2772192817195,1080.746479949912,1091.9499048615241
2022-01-02,1100.3904856042393,1094.9689577326526,1105.8370059209735
2022-01-03,1114.1432779529466,1108.493723314592,1119.2409538111456
2022-01-04,1127.844376613066,1122.319382083688,1133.2392128070521
2022-01-05,1141.4685513413112,1135.8670698724,1147.5676110545476
2022-01-06,1155.1136699852204,1149.6559875232083,1160.715480622025
2022-01-07,1168.6852350445392,1162.9100447153212,1174.333896940314
2022-01-08,1181.4277395560687,1176.4247909636679,1187.0701484431722
2022-01-09,1195.5410058785878,1190.0466306043,1201.0775229519859
2022-01-10,1209.2937982272942,1203.9893168283759,1214.837263493743
2022-01-11,1222.9948968874155,1217.2939515280766,1228.5805583940205
2022-01-12,1236.6190716156611,1231.39585517801,1242.2018170071872
2022-01-13,1250.2641902595685,1244.660906966726,1255.7930055997836
2022-01-14,1263.8357553188907,1258.1821716263412,1269.2597498992338
2022-01-15,1276.5782598304168,1271.1176859761651,1281.8152081247154
2022-01-16,1290.691526152937,1285.0276417452737,1295.9295678821136
2022-01-17,1304.4443185016432,1299.3723216695257,1309.7392865018026
2022-01-18,1318.1454171617647,1312.6513372394907,1323.4410645690866
2022-01-19,1331.7695918900079,1326.5860730090537,1337.270475808635
2022-01-20,1345.414710533917,1339.9869302053517,1351.1705544909873
2022-01-21,1358.9862755932381,1353.711740985465,1364.4885500767105
2022-01-22,1371.7287801047648,1366.4398886887723,1376.8866742727441
2022-01-23,1385.8420464272851,1380.9457706676508,1391.0824723904368
2022-01-24,1399.5948387759922,1394.5115644085497,1405.237638051179
2022-01-25,1407.1651846103225,1401.8300660939922,1412.7426221846608
2022-01-26,1414.6586065127794,1408.959965206349,1420.2652843875373
2022-01-27,1422.1729723309,1416.5298657805508,1427.6458372392135
2022-01-28,1429.6137845644312,1424.4540309438746,1435.05292890456
2022-01-29,1436.2255362501692,1430.755269496775,1441.506406363066
2022-01-30,1444.2080497468999,1438.2474252051368,1450.1118078857062
2022-01-31,1451.8300892698198,1446.499088522832,1457.5643874103762
2022-02-01,1459.4004351041506,1454.1484543178547,1465.11169920155
2022-02-02,1466.8938570066057,1461.8869179345484,1472.5528644183014
2022-02-03,1474.4082228247257,1469.350079679004,1479.9874668536117
2022-02-04,1481.8490350582604,1476.0723783457436,1487.5504165669238
2022-02-05,1488.4607867439966,1482.9458085640986,1494.3288417472083
2022-02-06,1496.4433002407272,1491.0891400189214,1501.9426947800255
2022-02-07,1504.0653397636465,1498.5654592448036,1509.6645194138177
2022-02-08,1511.6356855979777,1505.775504769628,1517.0307481945347
2022-02-09,1519.129107500432,1513.9497257135404,1524.570963125361
2022-02-10,1526.6434733185536,1521.4748685243221,1532.0476732152308
2022-02-11,1534.0842855520873,1528.6856625360053,1539.6473004205745
2022-02-12,1540.6960372378232,1535.468114093123,1545.963561040826
2022-02-13,1548.6785507345553,1543.069713384341,1553.8625549663273
2022-02-14,1556.3005902574737,1550.8470709604399,1561.7666448253804
2022-02-15,1563.8709360918047,1558.3793751714725,1569.3155882791104
2022-02-16,1571.3643579942607,1566.0915577757528,1576.952603651044
2022-02-17,1578.8787238123796,1573.4293172810385,1584.6488998143836
2022-02-18,1585.5548677564761,1580.281605898333,1591.3074204830552
2022-02-19,1591.4019511527752,1585.712473068352,1597.082658134709
2022-02-20,1598.6197963600703,1592.8354096680357,1604.3876668369571
2022-02-21,1605.47716759355,1599.714287390192,1610.7032074062615
2022-02-22,1612.282845138444,1607.290760966698,1617.9016588047666
2022-02-23,1619.0115987514619,1613.3499024275025,1624.7352523159666
2022-02-24,1625.7612962801445,1620.079187395506,1631.1294564506445
2022-02-25,1632.4374402242397,1627.3935637759334,1637.9593920162208
2022-02-26,1638.28452362054,1633.1781898259142,1643.6937410258067
2022-02-27,1645.5023688278316,1640.1290327680395,1650.772982737072
